activity,occupation,lmd_share,bench_share,diff_pp
anmmi,oper,0.17186,0.17450,-0.26439
anmmi,elmn,0.12685,0.13018,-0.33304
anmmi,doms,0.00000,0.00000,0.00000
anobs,mang,0.00977,0.01767,-0.78987
anobs,prof,0.00000,0.00385,-0.38534
anobs,tech,0.00000,0.00000,0.00000
anobs,cler,0.00577,0.01798,-1.22041
anobs,sale,0.06535,0.02179,4.35561
anobs,skag,0.00000,0.00000,0.00000
anobs,craf,0.00042,0.00061,-0.01930
anobs,oper,0.00004,0.00357,-0.35282
anobs,elmn,0.22759,0.23064,-0.30442
anobs,doms,0.69106,0.70389,-1.28344
aoact,mang,0.17107,0.12613,4.49443
aoact,prof,0.00110,0.00111,-0.00085
aoact,tech,0.01936,0.02063,-0.12728
aoact,cler,0.04199,0.04467,-0.26824
aoact,sale,0.57260,0.60620,-3.36044
aoact,skag,0.00000,0.00000,0.00000
aoact,craf,0.01383,0.01371,0.01183
aoact,oper,0.02337,0.02447,-0.10978
aoact,elmn,0.15669,0.16308,-0.63967
aoact,doms,0.00000,0.00000,0.00000
aobus,mang,0.30915,0.30698,0.21689
aobus,prof,0.23025,0.22818,0.20697
aobus,tech,0.07488,0.07424,0.06482
aobus,cler,0.09776,0.09763,0.01244
aobus,sale,0.15776,0.16085,-0.30975
aobus,skag,0.00019,0.00019,-0.00038
aobus,craf,0.04055,0.04120,-0.06528
aobus,oper,0.01317,0.01346,-0.02855
aobus,elmn,0.07629,0.07726,-0.09715
aobus,doms,0.00000,0.00000,0.00000
aochm,mang,0.46903,0.47019,-0.11583
aochm,prof,0.10447,0.10475,-0.02714
aochm,tech,0.06469,0.06484,-0.01415
aochm,cler,0.08932,0.08719,0.21226
aochm,sale,0.01967,0.01970,-0.00292
aochm,skag,0.00000,0.00000,0.00000
aochm,craf,0.04017,0.04027,-0.00937
aochm,oper,0.12687,0.12713,-0.02548
aochm,elmn,0.08576,0.08594,-0.01738
aochm,doms,0.00000,0.00000,0.00000
aofin,mang,0.46138,0.39373,6.76447
aofin,prof,0.08120,0.16807,-8.68668
aofin,tech,0.22374,0.30104,-7.73021
aofin,cler,0.23328,0.12518,10.80998
aofin,sale,0.00000,0.00907,-0.90684
aofin,skag,0.00000,0.00000,0.00000
aofin,craf,0.00000,0.00093,-0.09328
aofin,oper,0.00000,0.00071,-0.07072
aofin,elmn,0.00040,0.00127,-0.08672
aofin,doms,0.00000,0.00000,0.00000
aomin,mang,0.24456,0.05438,19.01748
aomin,prof,0.14811,0.03258,11.55312
aomin,tech,0.18128,0.02403,15.72543
aomin,cler,0.07549,0.05225,2.32398
aomin,sale,0.00536,0.00456,0.08072
aomin,skag,0.00000,0.00000,0.00000
aomin,craf,0.14791,0.31196,-16.40491
aomin,oper,0.13431,0.22918,-9.48657
